id,name
0,Unknown
1,"Writer, Editor"
2,"Artist, Actor"
3,Diplomat
4,Journalist
5,"Teacher, Instructor"
6,Government Employer
7,Medical Professional
8,Architect
9,Peasant
10,Banker
11,Lawyer
12,Public Sector
13,Former Military
14,Historian
15,Student
