id,name
1,Aushwitz
2,United States
3,England
4,France
5,Hungary
6,Incorporated Territories
7,Krakow
8,Lodz
9,Lublin
10,Lwow
11,Maidenek
12,Sobibor
13,Warsaw
14,Zemosc
15,Sambor
16,Wilno
17,Ghetto
18,Czestochowa
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
