"ID","Title"
"Maiduguri","Maiduguri"
"Kaduna","Kaduna"
"Borno","Borno"
"Niger","Niger"
"Kano","Kano"
"Sokoto","Sokoto"
"Saudi Arabia","Saudi Arabia"
"Somalia","Somalia"
