,Al-Qaeda in the Islamic Maghreb (AQIM),Ansaru,Movement for Unity and Jihad in West Africa (Mujao),Abu Muhammad Faction,Abu Muhammed Shura,Nigerian Taliban,Harakat Ansar al-Dine,All Nigeria People's Party,Congress for Progressive Change (CPC),Abubakar Shekau Faction,Abubakar Shekau's Shura,BH Shurra Committee,Albarnawai Kidnapping Squad,Nigerian Taliban Shura,Katibat al-Mulathimin,al-Murabitun,Taliban,Mamman Nur Faction,Al-Qaeda,Central Mosque in Douala, Camaroon,Al-Shabaab
Bahir Ghanim,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bahiru Mohammed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bashir Aketa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bello Yusuf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bilyaminu Bashir Baba Gana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Danzumi Haruna,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Francis Collomp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
General Muhammadu Buhari,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Habibu Yusuf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hassan Jazair,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ibrahim Bashir,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Musa Tanko,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sheikh Mukhtar Robow Ali,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mokthar Belmokhtar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Muhammed Marwana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Momodu Bama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iyad Ag Ghaly,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
