ID,Group,Color,Arrest_Date,Release_Date,Death_Date,1985_1989,1990_1994,1995_1999,2000,2001,2002,2003,2004,2005,2006
1565,,red,2/16/04,,,2,2,2,2,2,2,2,1,1,1
1566,,red,?/?/2001,?/?/2004,,2,2,2,2,1,1,1,2,2,2
1567,,red,10/?/2002,11/?/2004,,2,2,2,2,2,1,1,2,2,2
1568,,red,,,,2,2,2,2,2,2,2,2,1,1
1570,,red,8/?/2004, ,,2,2,2,2,2,2,2,1,1,1
1573,,red,,,,2,2,2,2,2,2,2,2,2,2
1574,,red,,,,2,2,2,2,2,2,2,2,2,2
1576,,red,,,,2,2,2,2,2,2,2,2,2,2
1577,,red,11/25/02,1/15/07,,2,2,2,2,2,1,1,1,1,1
1579,,red,,,11/9/05,2,2,2,2,2,2,2,2,0,0
1580,,red,,,4/29/06,2,2,2,2,2,2,2,2,2,0
1582,,red,7/2/05,?/?/2012,,2,2,2,2,2,2,2,2,1,1
1588,,red,1/?/2001,,,2,2,2,2,1,1,1,1,1,1
1590,,red,11/5/04,,,2,2,2,2,2,2,2,1,1,1
1594,,red,11/21/02,,,2,2,2,2,2,1,1,1,1,1
1595,,red,7/26/04,3/?/2007,,2,2,2,2,2,2,2,1,1,1
1597,,red,6/?/2003,,,2,2,2,2,2,2,1,1,1,1
1605,,red,,,,2,2,2,2,2,2,2,2,2,2
2360,,red,,,,2,2,2,2,2,2,2,2,2,2
